# MAKEOFFSET decomposition census, all 600 parts. BEFORE = ac0ca610 (fixed 24 samples per curved edge),
# AFTER = 483378aa (shipped kOffsetInputDeflection = 3.125e-3 mm chord-deflection budget).
# hausdorff_mm = two-sided max deviation between the two arms' answers, both sampled at 1e-5 x the
# part diagonal in the face's own plane frame (FORGE_MO_DUMP). class is derived from enc_area vs src_enc_area.
part	class	native_status	occt_status	native_edges_BEFORE	native_edges_AFTER	occt_edges	hausdorff_mm_BEFORE	hausdorff_mm_AFTER	src_enc_area	native_enc_area	occt_enc_area	src_outer_wire_kinds	agree_BEFORE	agree_AFTER	part_diag
ho179	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	16170.84	13181.67616	13181.67616	Line:4	True	True	220.2602325
ho18	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	15733.5	13643.37907	13643.37907	Line:4	True	True	184.319885
ho180	TESSELLATION	OK	OK	100	132	8	2.548040e-03	2.329280e-03	9207.264988	7271.949447	7271.937482	Line:4|Circle:4	False	False	181.1979671
ho183	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	30448.38	25774.67687	25774.67687	Line:4	True	True	261.969273
ho184	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	10730.91	9211.126226	9211.126226	Line:4	True	True	156.5625115
ho185	NOT_BOTH_OK	OK	TIMEOUT	253	255	0			18395.40777	14620.79561	0	-	False	False	258.1550168
ho189	TESSELLATION	OK	OK	180	827	8	2.544130e-01	4.206992e-03	18107.22617	12468.57855	12469.93337	Line:5|Circle:4	False	False	253.5137996
ho190	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	14538.68	12373.31251	12373.31251	Line:4	True	True	187.1267218
ho191	TESSELLATION	OK	OK	100	260	8	7.074420e-03	1.956935e-03	20440.62789	16383.46433	16383.29659	Line:4|Circle:4	False	False	249.0151834
ho195	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	24089	19999.17461	19999.17461	Line:4	True	True	255.9794132
ho196	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	17160	14189.33091	14189.33091	Line:4	True	True	221.76465
ho197	TESSELLATION	OK	OK	100	260	8	6.081950e-03	1.748310e-03	15742.19286	12569.1576	12569.04344	Line:4|Circle:4	False	False	222.2688949
ho2	TESSELLATION	OK	OK	100	260	8	6.729104e-03	1.918743e-03	21399.91844	16974.44963	16974.33048	Line:4|Circle:4	False	False	265.617791
ho20	OPPOSITE_DIRECTION	OK	OK	24	256	1	4.424701e+00	4.218655e+00	1855.079001	1546.951833	2190.96004	Circle:1	False	False	209.5792435
ho202	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	28531.11542	23364.09048	23364.09048	Line:4	True	True	275.3076461
ho203	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	15995.97	12878.014	12878.014	Line:4	True	True	221.501377
ho208	TESSELLATION	OK	OK	247	748	18	1.775210e-01	7.485338e-03	14390.43401	8881.556867	8883.384947	Line:5|Circle:9	False	False	254.7040047
ho209	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	13587.25	10947.34745	10947.34745	Line:4	True	True	212.4809168
ho210	TESSELLATION	OK	OK	100	132	8	5.476505e-03	3.080655e-03	8839.719024	7180.208608	7180.138905	Line:4|Circle:4	False	False	155.5370435
ho211	OPPOSITE_DIRECTION	OK	OK	24	256	1	6.452416e+00	6.154191e+00	3892.558866	3241.644781	4602.542053	Circle:1	False	False	242.4464465
ho214	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	19573.33626	16059.77344	16059.77344	Line:4	True	True	233.8287621
ho215	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	10970.27	9226.845945	9226.845945	Line:4	True	True	176.3600295
ho216	TESSELLATION	OK	OK	100	260	8	8.007157e-03	1.466692e-03	15289.98997	12538.04532	12537.68938	Line:4|Circle:4	False	False	200.5325987
ho219	TESSELLATION	OK	OK	248	911	12	1.194777e-01	3.357309e-03	18902.88437	12926.6531	12928.94208	Line:5|Circle:8	False	False	261.2575166
ho220	AGREE	OK	OK	4	4	4	1.464821e-14	1.464821e-14	6528.48	5483.736428	5483.736428	Line:4	True	True	138.4545052
ho221	TESSELLATION	OK	OK	100	260	8	7.469327e-03	2.067682e-03	24870.06588	19813.99517	19813.83247	Line:4|Circle:4	False	False	281.6478942
ho225	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	29248.7447	24290.95523	24290.95523	Line:4	True	True	258.1933384
ho226	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	11917.74	9985.14336	9985.14336	Line:4	True	True	177.1694669
ho23	TESSELLATION	OK	OK	354	969	16	7.345395e-02	4.446776e-03	9273.282594	4871.39439	4873.171766	Line:5|Circle:9	False	False	219.9578596
ho232	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	26522.8161	22330.38031	22330.38031	Line:4	True	True	242.4877935
ho233	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	10904.87	9247.342892	9247.342892	Line:4	True	True	159.1092078
ho239	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	31991.85	26592.54101	26592.54101	Line:4	True	True	295.6782373
ho240	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	8791.2	7463.713216	7463.713216	Line:4	True	True	144.9288446
ho245	TESSELLATION	OK	OK	312	1210	21	3.169524e-01	3.076271e-03	13805.74399	7402.045254	7404.879046	Line:5|Circle:11	False	False	245.5889452
ho246	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	8942.5	7652.821035	7652.821035	Line:4	True	True	152.4532059
ho249	OPPOSITE_DIRECTION	OK	OK	24	256	1	4.494748e+00	4.286354e+00	1932.205098	1612.626781	2280.43343	Circle:1	False	False	191.9936495
ho25	AGREE	OK	OK	4	4	4	1.464821e-14	1.464821e-14	8913.6	7273.45961	7273.45961	Line:4	True	True	164.6443743
ho252	AGREE	OK	OK	4	4	4	4.263256e-14	4.263256e-14	32924.98	27852.5136	27852.5136	Line:4	True	True	278.5687348
ho253	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	16203.78	13679.71685	13679.71685	Line:4	True	True	203.8973761
ho254	TESSELLATION	OK	OK	100	132	8	5.327684e-03	2.996940e-03	15699.78541	12305.771	12305.54369	Line:4|Circle:4	False	False	244.4561224
ho260	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	15192.9	12312.48565	12312.48565	Line:4	True	True	221.6155455
ho265	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	19382.38	16024.16037	16024.16037	Line:4	True	True	227.3263073
ho267	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	12703.32	11027.42368	11027.42368	Line:4	True	True	183.5632044
ho268	TESSELLATION	OK	OK	100	260	8	5.707861e-03	1.799104e-03	15210.31384	12062.73919	12062.65344	Line:4|Circle:4	False	False	228.8203151
ho273	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	36173.58	30902.82067	30902.82067	Line:4	True	True	279.6766883
ho274	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	21156.24	17603.98265	17603.98265	Line:4	True	True	231.2724151
ho275	TESSELLATION	OK	OK	100	260	8	8.037035e-03	1.774141e-03	20299.00768	16483.11581	16482.83117	Line:4|Circle:4	False	False	232.2796296
ho279	TESSELLATION	OK	OK	306	921	14	6.661408e-02	2.949300e-03	8918.947822	5067.084288	5068.345803	Line:5|Circle:9	False	False	211.2666798
ho281	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	10162.28	8601.893641	8601.893641	Line:4	True	True	165.3119778
ho285	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	18405.52	16007.85455	16007.85455	Line:4	True	True	205.4114164
ho286	AGREE	OK	OK	4	4	4	1.464821e-14	1.464821e-14	11813.17	9568.793235	9568.793235	Line:4	True	True	188.7055643
ho291	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	30902.04	25523.05115	25523.05115	Line:4	True	True	293.1270373
ho292	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	14863.16	12540.10694	12540.10694	Line:4	True	True	183.2871518
ho293	TESSELLATION	OK	OK	100	132	8	2.367744e-03	2.175592e-03	8043.827693	6362.25176	6362.240791	Line:4|Circle:4	False	False	171.6031326
ho296	TESSELLATION	OK	OK	206	412	9	1.084041e-02	2.247117e-03	7281.998161	5687.756165	5688.060203	Line:3|Circle:6	False	False	245.4109331
ho298	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	11912.31	10044.46594	10044.46594	Line:4	True	True	165.2910766
ho301	OPPOSITE_DIRECTION	OK	OK	24	512	1	7.876396e+00	7.507695e+00	5862.96573	4888.275458	6926.035421	Circle:1	False	False	244.9946466
ho304	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	21678.3	18021.25613	18021.25613	Line:4	True	True	242.3804654
ho305	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	16045.44	13487.58412	13487.58412	Line:4	True	True	201.165504
ho306	TESSELLATION	OK	OK	251	149	70	5.160568e-03	4.426307e-03	14750.21044	11510.67352	11510.62465	BSpline:8	False	False	245.0744787
ho31	TESSELLATION	OK	OK	274	1223	16	6.156366e-01	4.590820e-03	16964.18512	10566.46352	10568.81206	Line:5|Circle:8	False	False	255.7064528
ho310	TESSELLATION	OK	OK	284	991	13	1.350133e-01	2.896205e-03	16001.88475	10604.33808	10605.64316	Line:5|Circle:8	False	False	230.4489531
ho311	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	17051.36	14773.40881	14773.40881	Line:4	True	True	202.1550395
ho317	TESSELLATION	OK	OK	271	798	18	2.288279e-01	7.606334e-03	18599.86533	11863.39192	11865.77533	Line:5|Circle:9	False	False	277.2420387
ho318	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	10558.59	9123.091336	9123.091336	Line:4	True	True	160.7316397
ho319	TESSELLATION	OK	OK	100	132	8	4.628774e-03	2.680556e-03	16327.7133	12477.12464	12477.03047	Line:4|Circle:4	False	False	271.9672195
ho32	TESSELLATION	OK	OK	24	512	1	5.391766e-01	2.016872e-03	12502.65009	10866.5161	10866.8183	Circle:1	False	False	209.821853
ho320	OPPOSITE_DIRECTION	OK	OK	24	256	1	3.939612e+00	3.757329e+00	1452.201169	1209.464066	1716.956073	Circle:1	False	False	216.9358608
ho323	TESSELLATION	OK	OK	229	996	13	9.623151e-02	2.977514e-03	20512.9957	13246.91904	13249.27495	Line:5|Circle:8	False	False	281.4995915
ho324	AGREE	OK	OK	4	4	4	4.263256e-14	4.263256e-14	11080.74	8888.324512	8888.324512	Line:4	True	True	206.8985742
ho325	TESSELLATION	OK	OK	100	260	8	6.930438e-03	2.066697e-03	21435.13017	17042.25929	17042.12393	Line:4|Circle:4	False	False	262.5187719
ho330	AGREE	OK	OK	4	4	4	1.065814e-14	1.065814e-14	12486.5	9919.822091	9919.822091	Line:4	True	True	216.5719511
ho331	TESSELLATION	OK	OK	100	132	8	5.462126e-03	3.092453e-03	17869.80282	13903.66469	13903.46085	Line:4|Circle:4	False	False	262.2537627
ho334	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	21580.74	17888.42851	17888.42851	Line:4	True	True	253.1336011
ho335	AGREE	OK	OK	4	4	4	1.776357e-14	1.776357e-14	8756.68	7308.431222	7308.431222	Line:4	True	True	165.2538956
ho339	TESSELLATION	OK	OK	271	1060	17	1.385911e-01	3.945215e-03	14096.84404	9142.380428	9145.583386	Line:5|Circle:8	False	False	237.2490253
ho340	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	6982.92	5825.542358	5825.542358	Line:4	True	True	134.0809457
ho341	TESSELLATION	OK	OK	100	132	8	3.804571e-03	2.140155e-03	9760.726153	7507.558722	7507.487068	Line:4|Circle:4	False	False	205.1297806
ho345	TESSELLATION	OK	OK	335	954	16	7.969413e-02	3.119830e-03	21392.13562	12972.28516	12975.23161	Line:5|Circle:9	False	False	289.7994651
ho346	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	9781.44	8313.14243	8313.14243	Line:4	True	True	153.8642584
ho348	OPPOSITE_DIRECTION	OK	OK	24	256	1	6.620877e+00	6.313910e+00	4116.868576	3430.014637	4865.895325	Circle:1	False	False	184.9412923
ho351	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	26906.06876	22465.16784	22465.16784	Line:4	True	True	254.0691245
ho352	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	19377.84	16377.19453	16377.19453	Line:4	True	True	220.7208191
ho357	TESSELLATION	OK	OK	287	777	18	1.218319e-01	5.107283e-03	13852.09979	8967.864944	8969.672371	Line:5|Circle:9	False	False	233.7117455
ho358	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	14874.56	12094.96146	12094.96146	Line:4	True	True	224.3437764
ho363	TESSELLATION	OK	OK	250	1180	13	1.050138e-01	3.187045e-03	11916.0955	6754.306635	6757.23942	Line:5|Circle:8	False	False	231.4603638
ho364	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	10686	9216.052622	9216.052622	Line:4	True	True	172.5723616
ho37	TESSELLATION	OK	OK	264	964	20	9.007326e-02	3.086756e-03	16984.30446	10688.94265	10690.68022	Line:5|Circle:11	False	False	253.6071963
ho370	TESSELLATION	OK	OK	292	1193	13	1.652491e-01	2.792883e-03	25123.23058	16710.3802	16714.91314	Line:5|Circle:8	False	False	278.2509055
ho372	TESSELLATION	OK	OK	24	512	1	5.156141e-01	1.885252e-03	11421.21905	9926.60434	9926.880401	Circle:1	False	False	197.0852354
ho377	TESSELLATION	OK	OK	307	1049	15	8.475693e-02	2.887366e-03	18951.35798	11291.24063	11294.67857	Line:5|Circle:9	False	False	284.1169147
ho378	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	6646.65	5516.417564	5516.417564	Line:4	True	True	138.7903095
ho379	TESSELLATION	OK	OK	100	260	8	5.457076e-03	1.407935e-03	11081.29316	8938.900468	8938.78335	Line:4|Circle:4	False	False	188.7082269
ho38	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	16842.52	14153.23651	14153.23651	Line:4	True	True	202.9154011
ho380	OPPOSITE_DIRECTION	OK	OK	24	256	1	4.060625e+00	3.870608e+00	1578.014864	1317.211888	1862.179411	Circle:1	False	False	214.7323552
ho383	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	35112.3304	29103.48728	29103.48728	Line:4	True	True	299.9677649
ho384	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	13495.83	11807.61592	11807.61592	Line:4	True	True	175.4770355
ho385	TESSELLATION	OK	OK	100	260	8	7.730188e-03	2.339527e-03	26589.31979	21178.15646	21177.98419	Line:4|Circle:4	False	False	295.349802
ho390	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	26654.81	23031.3147	23031.3147	Line:4	True	True	241.4780114
ho392	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	18338.76	15241.06986	15241.06986	Line:4	True	True	206.2547212
ho393	TESSELLATION	OK	OK	100	132	8	4.370070e-03	2.533205e-03	14259.71409	10928.48845	10928.39733	Line:4|Circle:4	False	False	255.1536437
ho396	AGREE	OK	OK	4	4	4	4.263256e-14	4.263256e-14	26572.1841	22085.61083	22085.61083	Line:4	True	True	257.2291585
ho397	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	18244.8	15289.38188	15289.38188	Line:4	True	True	205.2497259
ho400	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	34798.33	28734.2605	28734.2605	Line:4	True	True	287.880166
ho401	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	10234.4	8678.606339	8678.606339	Line:4	True	True	166.486576
ho402	TESSELLATION	OK	OK	100	260	8	6.532754e-03	1.613462e-03	14006.43528	11335.54987	11335.3743	Line:4|Circle:4	False	False	206.4811664
ho406	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	37581.72	31826.11397	31826.11397	Line:4	True	True	298.0734809
ho407	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	12154.9	10363.83523	10363.83523	Line:4	True	True	170.520292
ho408	NOT_BOTH_OK	OK	TIMEOUT	253	294	0			14870.66606	12029.12088	0	-	False	False	208.6156619
ho412	TESSELLATION	OK	OK	310	1265	19	3.379960e-01	2.912018e-03	27093.00329	16718.30731	16722.14464	Line:5|Circle:11	False	False	311.671805
ho413	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	17389.79	14870.57077	14870.57077	Line:4	True	True	203.9932107
ho414	TESSELLATION	OK	OK	100	260	8	7.990508e-03	1.639888e-03	19757.20479	16050.38159	16050.09884	Line:4|Circle:4	False	False	227.6327337
ho417	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	22144.2	18507.34844	18507.34844	Line:4	True	True	232.3994836
ho418	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	16768.17	13850.81631	13850.81631	Line:4	True	True	218.4099357
ho420	OPPOSITE_DIRECTION	OK	OK	24	256	1	5.216276e+00	4.972957e+00	2587.698389	2158.671675	3055.290109	Circle:1	False	False	191.7488358
ho423	AGREE	OK	OK	4	4	4	1.065814e-14	1.065814e-14	10376.17	8535.827547	8535.827547	Line:4	True	True	181.7736505
ho424	TESSELLATION	OK	OK	100	260	8	7.798947e-03	1.857083e-03	20771.93162	16762.93984	16762.70211	Line:4|Circle:4	False	False	253.4468437
ho429	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	16017.25	12973.87085	12973.87085	Line:4	True	True	232.838721
ho43	TESSELLATION	OK	OK	279	1137	13	1.762637e-01	3.779312e-03	26101.80555	17177.23295	17179.65825	Line:5|Circle:8	False	False	289.1925829
ho430	TESSELLATION	OK	OK	100	260	8	6.412777e-03	1.601636e-03	16431.03433	13161.23461	13161.09986	Line:4|Circle:4	False	False	221.5464488
ho432	OPPOSITE_DIRECTION	OK	OK	24	256	1	7.270930e+00	6.929206e+00	5102.229088	4262.521757	6016.802184	Circle:1	False	False	194.1216548
ho434	AGREE	OK	OK	4	4	4	4.263256e-14	4.263256e-14	39780.1404	33098.73465	33098.73465	Line:4	True	True	300.0794228
ho435	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	24680.88	20886.21246	20886.21246	Line:4	True	True	245.8334802
ho436	TESSELLATION	OK	OK	100	260	8	5.804419e-03	1.632128e-03	13409.46782	10754.9294	10754.81369	Line:4|Circle:4	False	False	208.1813293
ho439	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	24975.67206	20578.80336	20578.80336	Line:4	True	True	256.74129
ho44	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	17609.54	15423.79231	15423.79231	Line:4	True	True	202.9841619
ho440	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	22686.18	19034.95618	19034.95618	Line:4	True	True	232.2336324
ho441	TESSELLATION	OK	OK	100	260	8	6.965407e-03	1.825914e-03	21002.99828	16773.27051	16773.12028	Line:4|Circle:4	False	False	252.8413101
ho445	AGREE	OK	OK	4	4	4	0.000000e+00	0.000000e+00	26512.5	21627.59661	21627.59661	Line:4	True	True	282.6291032
ho447	AGREE	OK	OK	4	4	4	3.552714e-15	3.552714e-15	9043.68	7443.1261	7443.1261	Line:4	True	True	161.2279442
ho448	TESSELLATION	OK	OK	253	161	39	5.478241e-03	3.070493e-03	10074.26291	8160.365522	8160.50641	BSpline:8	False	False	173.6109707
ho45	NOT_BOTH_OK	OK	DEFER	253	303	0			20654.29268	16646.40996	0	-	False	False	250.5277484
ho450	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	34262.4	29404.28469	29404.28469	Line:4	True	True	279.2636747
ho451	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	14052.5	11808.91037	11808.91037	Line:4	True	True	182.6070371
ho455	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	17174.9424	14627.38993	14627.38993	Line:4	True	True	205.1862812
ho456	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	11995.56	10454.98193	10454.98193	Line:4	True	True	167.6929635
ho457	TESSELLATION	OK	OK	253	295	78	6.636548e-03	2.731279e-03	12565.16899	10267.0827	10267.279	BSpline:8	False	False	189.4413647
ho46	OPPOSITE_DIRECTION	OK	OK	24	256	1	6.298952e+00	6.004734e+00	3782.760206	3156.381851	4465.365368	Circle:1	False	False	212.1283919
ho461	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	39742.56	33431.7256	33431.7256	Line:4	True	True	299.8188953
ho462	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	16288.14	14143.01135	14143.01135	Line:4	True	True	187.7342004
ho467	TESSELLATION	OK	OK	279	1372	13	1.988335e-01	3.031739e-03	33594.50171	22318.6455	22321.83324	Line:5|Circle:8	False	False	322.8203525
ho468	AGREE	OK	OK	4	4	4	5.684342e-14	5.684342e-14	11988.02	9639.76434	9639.76434	Line:4	True	True	214.293397
ho469	TESSELLATION	OK	OK	100	132	8	4.644718e-03	2.612756e-03	8391.745491	6738.104747	6738.074456	Line:4|Circle:4	False	False	163.0660174
ho471	OPPOSITE_DIRECTION	OK	OK	24	256	1	6.399683e+00	6.100377e+00	3914.707094	3267.309224	4620.13609	Circle:1	False	False	207.1812737
